price,type,address,url,agent_url,date_available_list,postcode,number_bedrooms,search_date
1560,1 bedroom flat,"Benwell Road, Islington, N7",http://www.rightmove.co.uk/property-to-rent/property-92191148.html,http://www.rightmove.co.uk/estate-agents/agent/Portico/Islington-66950.html,2020-07-31,N7,1,2020-05-17 16:10:54.329688
1625,1 bedroom flat,"St. Peter's Street, Angel, N1",http://www.rightmove.co.uk/property-to-rent/property-92285342.html,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Rose-Residential-Ltd/London-33048.html,2020-07-08,N1,1,2020-05-17 16:10:54.329688
1499,1 bedroom flat,"Grosvenor Avenue, Canonbury",http://www.rightmove.co.uk/property-to-rent/property-51170271.html,http://www.rightmove.co.uk/estate-agents/agent/Felicity-J-Lord/Islington-Lettings-79624.html,2020-07-04,,1,2020-05-17 16:10:54.329688
1668,1 bedroom apartment,"Culverin Court, Hornsey Street, London, N7",http://www.rightmove.co.uk/property-to-rent/property-92193215.html,http://www.rightmove.co.uk/estate-agents/agent/Stadium-Residential/Islington-34775.html,2020-06-26,N7,1,2020-05-17 16:10:54.329688
1560,1 bedroom flat,"Arundel Square, N7 8AP",http://www.rightmove.co.uk/property-to-rent/property-92241020.html,http://www.rightmove.co.uk/estate-agents/agent/Hotblack-Desiato/Islington-51388.html,2020-06-16,N7,1,2020-05-17 16:10:54.329688
1473,Studio apartment,"Carronade Court, Eden Grove, London, N7",http://www.rightmove.co.uk/property-to-rent/property-92192663.html,http://www.rightmove.co.uk/estate-agents/agent/Stadium-Residential/Islington-34775.html,2020-06-10,N7,0,2020-05-17 16:10:54.329688
1430,1 bedroom flat,"Bredgar Rd, London, N19",http://www.rightmove.co.uk/property-to-rent/property-79706413.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,2020-06-01,N19,1,2020-05-17 16:10:54.329688
1500,1 bedroom apartment,"Camden Road, London, N7 * VIRTUAL TOUR AVAILABLE! *",http://www.rightmove.co.uk/property-to-rent/property-78663127.html,http://www.rightmove.co.uk/estate-agents/agent/Reliable-Homes/London-140672.html,2020-06-01,N7,1,2020-05-17 16:10:54.329688
1647,1 bedroom flat,"Pyrland Road, N5",http://www.rightmove.co.uk/property-to-rent/property-70440459.html,http://www.rightmove.co.uk/estate-agents/agent/M-and-M-Property/London-4370.html,2020-05-25,N5,1,2020-05-17 16:10:54.329688
1430,1 bedroom flat,"Roden Street, Islington, N7",http://www.rightmove.co.uk/property-to-rent/property-79646659.html,http://www.rightmove.co.uk/estate-agents/agent/Rochester-Place/London-96542.html,2020-05-23,N7,1,2020-05-17 16:10:54.329688
1500,1 bedroom flat,"Aberdeen Park, London, N5",http://www.rightmove.co.uk/property-to-rent/property-92260808.html,http://www.rightmove.co.uk/estate-agents/agent/Charles-David-James/London-195854.html,2020-05-22,N5,1,2020-05-17 16:10:54.329688
1733,1 bedroom apartment,"Carronade Court, Eden Grove, London, N7",http://www.rightmove.co.uk/property-to-rent/property-91606691.html,http://www.rightmove.co.uk/estate-agents/agent/Stadium-Residential/Islington-34775.html,2020-05-21,N7,1,2020-05-17 16:10:54.329688
1400,1 bedroom flat,"Wedmore Gardens, London , N19",http://www.rightmove.co.uk/property-to-rent/property-79744276.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,2020-05-18,N19,1,2020-05-17 16:10:54.329688
1517,1 bedroom flat,"Union Square, London, N1",http://www.rightmove.co.uk/property-to-rent/property-92322020.html,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Rose-Residential-Ltd/London-33048.html,2020-05-18,N1,1,2020-05-17 16:10:54.329688
1500,1 bedroom apartment,"Carriage House, 10 City North, Finsbury Park, N4",http://www.rightmove.co.uk/property-to-rent/property-68354874.html,http://www.rightmove.co.uk/estate-agents/agent/Life-Residential/North-London-Branch--lettings-73228.html,1111-01-01,N4,1,2020-05-17 16:10:54.329688
1625,1 bedroom property,"Tufnell Park Road, London, N7",http://www.rightmove.co.uk/property-to-rent/property-79573903.html,http://www.rightmove.co.uk/estate-agents/agent/Marsh-and-Parsons/Tufnell-Park-153443.html,1111-01-01,N7,1,2020-05-17 16:10:54.329688
1575,1 bedroom flat,"Blandford Court, London, N1",http://www.rightmove.co.uk/property-to-rent/property-79641628.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,1111-01-01,N1,1,2020-05-17 16:10:54.329688
1452,Studio flat,"York Way, Kings Cross, N1",http://www.rightmove.co.uk/property-to-rent/property-69330666.html,http://www.rightmove.co.uk/estate-agents/agent/Greater-London-Properties/Bloomsbury-153329.html,1111-01-01,N1,0,2020-05-17 16:10:54.329688
1750,1 bedroom flat,"Rotherfield Street, London, N1",http://www.rightmove.co.uk/property-to-rent/property-79659340.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,1111-01-01,N1,1,2020-05-17 16:10:54.329688
1500,1 bedroom apartment,"Kelvin Road, London, N5",http://www.rightmove.co.uk/property-to-rent/property-79696408.html,http://www.rightmove.co.uk/estate-agents/agent/Reliable-Homes/London-140672.html,1111-01-01,N5,1,2020-05-17 16:10:54.329688
1400,1 bedroom apartment,"Mayton Street, London, N7",http://www.rightmove.co.uk/property-to-rent/property-79682164.html,http://www.rightmove.co.uk/estate-agents/agent/Drivers-and-Norris/Islington--Lettings-54616.html,1111-01-01,N7,1,2020-05-17 16:10:54.329688
1690,1 bedroom apartment,"Queensland Road, London, N7",http://www.rightmove.co.uk/property-to-rent/property-92241407.html,http://www.rightmove.co.uk/estate-agents/agent/Right-Now-Residential/London-49959.html,1111-01-01,N7,1,2020-05-17 16:10:54.329688
1650,1 bedroom apartment,"Carronade Court, Eden Grove, Holloway",http://www.rightmove.co.uk/property-to-rent/property-91616369.html,http://www.rightmove.co.uk/estate-agents/agent/Alex-Crown-Lettings-and-Estate-Agents/London-102122.html,1111-01-01,,1,2020-05-17 16:10:54.329688
1450,1 bedroom flat,"Holloway Road, Holloway, London",http://www.rightmove.co.uk/property-to-rent/property-79693642.html,http://www.rightmove.co.uk/estate-agents/agent/David-Astburys-Ltd/London-176261.html,1111-01-01,,1,2020-05-17 16:10:54.329688
1452,Studio flat,"York Way, Kings Cross, N1",http://www.rightmove.co.uk/property-to-rent/property-69330666.html,http://www.rightmove.co.uk/estate-agents/agent/Greater-London-Properties/Bloomsbury-153329.html,1111-01-01,N1,0,2020-05-17 16:10:54.329688
